id_dpto;name_dpto;year;cant
1;AMAZONAS;2005;400668
2;ANCASH;2005;1084038
3;APURIMAC;2005;433256
4;AREQUIPA;2005;1155267
5;AYACUCHO;2005;611542
6;CAJAMARCA;2005;1458379
7;CALLAO;2005;866877
8;CUSCO;2005;1228055
9;HUANCAVELICA;2005;455562
10;HUANUCO;2005;788380
11;ICA;2005;704822
12;JUNIN;2005;1253996
13;LA LIBERTAD;2005;1638251
14;LAMBAYEQUE;2005;1150982
15;LIMA;2005;8474342
16;LORETO;2005;917618
17;MADRE DE DIOS;2005;105205
18;MOQUEGUA;2005;162237
19;PASCO;2005;280061
20;PIURA;2005;1694797
21;PUNO;2005;1293843
22;SAN MARTIN;2005;722567
23;TACNA;2005;296767
24;TUMBES;2005;203452
25;UCAYALI;2005;429576
1;AMAZONAS;2006;403428
2;ANCASH;2006;1090637
3;APURIMAC;2006;436000
4;AREQUIPA;2006;1168238
5;AYACUCHO;2006;619437
6;CAJAMARCA;2006;1467758
7;CALLAO;2006;882066
8;CUSCO;2006;1237955
9;HUANCAVELICA;2006;459598
10;HUANUCO;2006;796330
11;ICA;2006;713692
12;JUNIN;2006;1264050
13;LA LIBERTAD;2006;1660535
14;LAMBAYEQUE;2006;1163003
15;LIMA;2006;8605145
16;LORETO;2006;931218
17;MADRE DE DIOS;2006;108412
18;MOQUEGUA;2006;164090
19;PASCO;2006;282660
20;PIURA;2006;1710456
21;PUNO;2006;1306226
22;SAN MARTIN;2006;734689
23;TACNA;2006;301728
24;TUMBES;2006;207125
25;UCAYALI;2006;436967
1;AMAZONAS;2007;406087
2;ANCASH;2007;1097098
3;APURIMAC;2007;438761
4;AREQUIPA;2007;1180683
5;AYACUCHO;2007;627317
6;CAJAMARCA;2007;1476708
7;CALLAO;2007;897144
8;CUSCO;2007;1247503
9;HUANCAVELICA;2007;463651
10;HUANUCO;2007;804220
11;ICA;2007;722321
12;JUNIN;2007;1273648
13;LA LIBERTAD;2007;1682213
14;LAMBAYEQUE;2007;1174519
15;LIMA;2007;8730820
16;LORETO;2007;944717
17;MADRE DE DIOS;2007;111604
18;MOQUEGUA;2007;165871
19;PASCO;2007;285291
20;PIURA;2007;1725502
21;PUNO;2007;1317911
22;SAN MARTIN;2007;746844
23;TACNA;2007;306461
24;TUMBES;2007;210798
25;UCAYALI;2007;444209
1;AMAZONAS;2008;408629
2;ANCASH;2008;1103481
3;APURIMAC;2008;441507
4;AREQUIPA;2008;1192932
5;AYACUCHO;2008;635167
6;CAJAMARCA;2008;1485188
7;CALLAO;2008;912065
8;CUSCO;2008;1256770
9;HUANCAVELICA;2008;467700
10;HUANUCO;2008;811989
11;ICA;2008;730767
12;JUNIN;2008;1283003
13;LA LIBERTAD;2008;1703617
14;LAMBAYEQUE;2008;1185684
15;LIMA;2008;8855022
16;LORETO;2008;957992
17;MADRE DE DIOS;2008;114791
18;MOQUEGUA;2008;167616
19;PASCO;2008;287913
20;PIURA;2008;1740194
21;PUNO;2008;1329272
22;SAN MARTIN;2008;758974
23;TACNA;2008;311038
24;TUMBES;2008;214439
25;UCAYALI;2008;451284
1;AMAZONAS;2009;411043
2;ANCASH;2009;1109849
3;APURIMAC;2009;444202
4;AREQUIPA;2009;1205317
5;AYACUCHO;2009;642972
6;CAJAMARCA;2009;1493159
7;CALLAO;2009;926788
8;CUSCO;2009;1265827
9;HUANCAVELICA;2009;471720
10;HUANUCO;2009;819578
11;ICA;2009;739087
12;JUNIN;2009;1292330
13;LA LIBERTAD;2009;1725075
14;LAMBAYEQUE;2009;1196655
15;LIMA;2009;8981440
16;LORETO;2009;970918
17;MADRE DE DIOS;2009;117981
18;MOQUEGUA;2009;169365
19;PASCO;2009;290483
20;PIURA;2009;1754791
21;PUNO;2009;1340684
22;SAN MARTIN;2009;771021
23;TACNA;2009;315534
24;TUMBES;2009;218017
25;UCAYALI;2009;458177
1;AMAZONAS;2010;413314
2;ANCASH;2010;1116265
3;APURIMAC;2010;446813
4;AREQUIPA;2010;1218168
5;AYACUCHO;2010;650718
6;CAJAMARCA;2010;1500584
7;CALLAO;2010;941268
8;CUSCO;2010;1274742
9;HUANCAVELICA;2010;475693
10;HUANUCO;2010;826932
11;ICA;2010;747338
12;JUNIN;2010;1301844
13;LA LIBERTAD;2010;1746913
14;LAMBAYEQUE;2010;1207589
15;LIMA;2010;9113684
16;LORETO;2010;983371
17;MADRE DE DIOS;2010;121183
18;MOQUEGUA;2010;171155
19;PASCO;2010;292955
20;PIURA;2010;1769555
21;PUNO;2010;1352523
22;SAN MARTIN;2010;782932
23;TACNA;2010;320021
24;TUMBES;2010;221498
25;UCAYALI;2010;464875
1;AMAZONAS;2011;415466
2;ANCASH;2011;1122792
3;APURIMAC;2011;449365
4;AREQUIPA;2011;1231553
5;AYACUCHO;2011;658400
6;CAJAMARCA;2011;1507486
7;CALLAO;2011;955385
8;CUSCO;2011;1283540
9;HUANCAVELICA;2011;479641
10;HUANUCO;2011;834054
11;ICA;2011;755508
12;JUNIN;2011;1311584
13;LA LIBERTAD;2011;1769181
14;LAMBAYEQUE;2011;1218492
15;LIMA;2011;9252401
16;LORETO;2011;995355
17;MADRE DE DIOS;2011;124404
18;MOQUEGUA;2011;172995
19;PASCO;2011;295315
20;PIURA;2011;1784551
21;PUNO;2011;1364752
22;SAN MARTIN;2011;794730
23;TACNA;2011;324498
24;TUMBES;2011;224895
25;UCAYALI;2011;471351
1;AMAZONAS;2012;417508
2;ANCASH;2012;1129391
3;APURIMAC;2012;451881
4;AREQUIPA;2012;1245251
5;AYACUCHO;2012;666029
6;CAJAMARCA;2012;1513892
7;CALLAO;2012;969170
8;CUSCO;2012;1292175
9;HUANCAVELICA;2012;483580
10;HUANUCO;2012;840984
11;ICA;2012;763558
12;JUNIN;2012;1321407
13;LA LIBERTAD;2012;1791659
14;LAMBAYEQUE;2012;1229260
15;LIMA;2012;9395149
16;LORETO;2012;1006953
17;MADRE DE DIOS;2012;127639
18;MOQUEGUA;2012;174859
19;PASCO;2012;297591
20;PIURA;2012;1799607
21;PUNO;2012;1377122
22;SAN MARTIN;2012;806452
23;TACNA;2012;328915
24;TUMBES;2012;228227
25;UCAYALI;2012;477616
1;AMAZONAS;2013;419404
2;ANCASH;2013;1135962
3;APURIMAC;2013;454324
4;AREQUIPA;2013;1259162
5;AYACUCHO;2013;673609
6;CAJAMARCA;2013;1519764
7;CALLAO;2013;982800
8;CUSCO;2013;1300609
9;HUANCAVELICA;2013;487472
10;HUANUCO;2013;847714
11;ICA;2013;771507
12;JUNIN;2013;1331253
13;LA LIBERTAD;2013;1814276
14;LAMBAYEQUE;2013;1239882
15;LIMA;2013;9540996
16;LORETO;2013;1018160
17;MADRE DE DIOS;2013;130876
18;MOQUEGUA;2013;176736
19;PASCO;2013;299807
20;PIURA;2013;1814622
21;PUNO;2013;1389684
22;SAN MARTIN;2013;818061
23;TACNA;2013;333276
24;TUMBES;2013;231480
25;UCAYALI;2013;483708
1;AMAZONAS;2014;421122
2;ANCASH;2014;1142409
3;APURIMAC;2014;456652
4;AREQUIPA;2014;1273180
5;AYACUCHO;2014;681149
6;CAJAMARCA;2014;1525064
7;CALLAO;2014;999976
8;CUSCO;2014;1308806
9;HUANCAVELICA;2014;491278
10;HUANUCO;2014;854234
11;ICA;2014;779372
12;JUNIN;2014;1341064
13;LA LIBERTAD;2014;1836960
14;LAMBAYEQUE;2014;1250349
15;LIMA;2014;9685490
16;LORETO;2014;1028968
17;MADRE DE DIOS;2014;134105
18;MOQUEGUA;2014;178612
19;PASCO;2014;301988
20;PIURA;2014;1829496
21;PUNO;2014;1402496
22;SAN MARTIN;2014;829520
23;TACNA;2014;337583
24;TUMBES;2014;234638
25;UCAYALI;2014;489664
1;AMAZONAS;2015;422629
2;ANCASH;2015;1148634
3;APURIMAC;2015;458830
4;AREQUIPA;2015;1287205
5;AYACUCHO;2015;688657
6;CAJAMARCA;2015;1529755
7;CALLAO;2015;1013935
8;CUSCO;2015;1316729
9;HUANCAVELICA;2015;494963
10;HUANUCO;2015;860548
11;ICA;2015;787170
12;JUNIN;2015;1350783
13;LA LIBERTAD;2015;1859640
14;LAMBAYEQUE;2015;1260650
15;LIMA;2015;9834631
16;LORETO;2015;1039372
17;MADRE DE DIOS;2015;137316
18;MOQUEGUA;2015;180477
19;PASCO;2015;304158
20;PIURA;2015;1844129
21;PUNO;2015;1415608
22;SAN MARTIN;2015;840790
23;TACNA;2015;341838
24;TUMBES;2015;237685
25;UCAYALI;2015;495511
